"","year","team","field","gameYPC","offenseYPC","defenseYPCAllowed","homeOrAway"
"1",2007,"New Orleans Saints","turf",3.93103448275862,3.72451790633609,3.93915343915344,"Home"
"2",2007,"Washington Redskins","grass",2.60714285714286,3.75350701402806,4.03693931398417,"Home"
"3",2007,"St. Louis Rams","turf",5.34782608695652,3.68503937007874,3.85416666666667,"Home"
"4",2007,"San Francisco 49ers","grass",4.18181818181818,4.13432835820895,3.92467532467532,"Home"
"5",2007,"Seattle Seahawks","turf",2.85714285714286,3.72789115646259,4.01846965699208,"Home"
"6",2007,"Cincinnati Bengals","turf",3.6,3.74747474747475,3.95607235142119,"Home"
"7",2007,"Tampa Bay Buccaneers","grass",3.52173913043478,4.18588235294118,3.99168975069252,"Home"
"8",2007,"Baltimore Ravens","turf",4.3,4.00961538461539,3.90981432360743,"Home"
"9",2008,"San Francisco 49ers","grass",5.4,3.95490716180371,3.88866396761134,"Home"
"10",2008,"Philadelphia Eagles","grass",4.625,3.80482456140351,3.89029535864979,"Home"
"11",2008,"New York Jets","turf",3.42307692307692,4.83585858585859,3.97540983606557,"Home"
"12",2008,"Washington Redskins","grass",4.38709677419355,4.38255033557047,3.91925465838509,"Home"
"13",2008,"Carolina Panthers","grass",3.89655172413793,4.89591836734694,3.95051546391753,"Home"
"14",2008,"Pittsburgh Steelers","grass",2.75,3.59546313799622,3.97609561752988,"Home"
"15",2008,"Seattle Seahawks","turf",1.95454545454545,4.36708860759494,4.03658536585366,"Home"
"16",2008,"Carolina Panthers","grass",5,4.83531746031746,3.91583166332665,"Home"
"17",2008,"New England Patriots","turf",4.35714285714286,4.4385593220339,3.91101694915254,"Home"
"18",2008,"St. Louis Rams","turf",3.05,4,3.98380566801619,"Home"
"19",2009,"New York Giants","turf",4.11538461538461,4.14868105515588,4.55116279069767,"Home"
"20",2009,"Seattle Seahawks","turf",1.27272727272727,4.04166666666667,4.60674157303371,"Home"
"21",2009,"St. Louis Rams","turf",4.55555555555556,4.32552083333333,4.52447552447552,"Home"
"22",2009,"San Francisco 49ers","grass",5.25,4.21194029850746,4.46428571428571,"Home"
"23",2009,"Detroit Lions","turf",5.96296296296296,3.80890052356021,4.43589743589744,"Home"
"24",2009,"Chicago Bears","grass",5.83333333333333,3.93905817174515,4.49099099099099,"Home"
"25",2009,"Tennessee Titans","grass",7.08695652173913,5.10294117647059,4.39030023094688,"Home"
"26",2009,"New Orleans Saints","turf",5.02941176470588,4.45686274509804,4.48578199052133,"Home"
"27",2009,"Jacksonville Jaguars","grass",4.6,4.53629976580796,4.52293577981651,"Home"
"28",2010,"Atlanta Falcons","turf",4.91111111111111,3.68025751072961,4.37006237006237,"Home"
"29",2010,"St. Louis Rams","turf",3.54166666666667,3.68641975308642,4.45816733067729,"Home"
"30",2010,"Carolina Panthers","grass",3.93333333333333,4.35770234986945,4.46153846153846,"Home"
"31",2010,"Kansas City Chiefs","grass",5.48275862068965,4.71794871794872,4.35412474849095,"Home"
"32",2010,"San Francisco 49ers","grass",4,4.14095744680851,4.43712574850299,"Home"
"33",2010,"Minnesota Vikings","turf",4,4.42280285035629,4.43280632411067,"Home"
"34",2010,"San Diego Chargers","grass",4.73684210526316,3.89021479713604,4.39139344262295,"Home"
"35",2010,"Seattle Seahawks","turf",4,3.8025974025974,4.4469387755102,"Home"
"36",2011,"San Francisco 49ers","grass",3.3469387755102,4.35470941883768,4.27699530516432,"Home"
"37",2011,"Cincinnati Bengals","turf",4.85294117647059,3.83863636363636,4.12925170068027,"Home"
"38",2011,"Baltimore Ravens","turf",4.11538461538461,4.22626262626263,4.18485523385301,"Home"
"39",2011,"Seattle Seahawks","turf",4.06666666666667,3.94685990338164,4.18876404494382,"Home"
"40",2011,"St. Louis Rams","turf",3.90909090909091,4.08527131782946,4.19426048565121,"Home"
"41",2011,"Philadelphia Eagles","grass",6.91666666666667,4.95305164319249,4.03547671840355,"Home"
"42",2011,"Minnesota Vikings","turf",4.64864864864865,5.22141119221411,4.14155251141552,"Home"
"43",2011,"Washington Redskins","grass",4.91428571428571,3.95068493150685,4.12272727272727,"Home"
"44",2012,"New York Jets","turf",4.11627906976744,3.81152993348115,4.35205183585313,"Home"
"45",2012,"St. Louis Rams","turf",3.46875,4.24074074074074,4.39029535864979,"Home"
"46",2012,"Green Bay Packers","grass",4.51282051282051,3.86848072562358,4.3169164882227,"Home"
"47",2012,"Atlanta Falcons","turf",2.41666666666667,3.93796526054591,4.42738589211618,"Home"
"48",2012,"Seattle Seahawks","turf",6.76190476190476,4.7262969588551,4.11206896551724,"Home"
"49",2012,"San Francisco 49ers","grass",3.48648648648649,5.42446043165468,4.39872068230277,"Home"
"50",2012,"Minnesota Vikings","turf",6.14814814814815,5.39959016393443,4.22964509394572,"Home"
"51",2012,"New England Patriots","turf",3.21428571428571,4.24862888482633,4.39748953974895,"Home"
"52",2013,"San Francisco 49ers","grass",3.92105263157895,4.4830053667263,3.62048192771084,"Home"
"53",2013,"Seattle Seahawks","turf",5.15,4.23456790123457,3.56571428571429,"Home"
"54",2013,"New Orleans Saints","turf",4.33333333333333,3.87412587412587,3.60404624277457,"Home"
"55",2013,"Tennessee Titans","grass",3.47368421052632,4.12641083521445,3.66096866096866,"Home"
"56",2013,"Philadelphia Eagles","grass",3.08823529411765,5.20696721311475,3.70833333333333,"Home"
"57",2013,"Jacksonville Jaguars","grass",2,3.39226519337017,3.72598870056497,"Home"
"58",2013,"St. Louis Rams","turf",2.79166666666667,4.19154228855721,3.71098265895954,"Home"
"59",2013,"Tampa Bay Buccaneers","grass",2.58064516129032,3.93830334190231,3.74926253687316,"Home"
"60",2014,"Oakland Raiders","grass",2.94736842105263,3.72327044025157,4.47607655502392,"Home"
"61",2014,"San Francisco 49ers","grass",6.24242424242424,4.50800915331808,4.25990099009901,"Home"
"62",2014,"Atlanta Falcons","turf",4.17647058823529,4.01183431952663,4.42928039702233,"Home"
"63",2014,"St. Louis Rams","turf",3.45,4.176,4.45563549160671,"Home"
"64",2014,"Denver Broncos","grass",3.28571428571429,4.09425287356322,4.48655256723716,"Home"
"65",2014,"New York Giants","turf",3,3.60663507109005,4.50243902439024,"Home"
"66",2014,"Seattle Seahawks","turf",4.27586206896552,5.26190476190476,4.41911764705882,"Home"
"67",2014,"Dallas Cowboys","turf",3.68,4.66165413533835,4.45388349514563,"Home"
"68",2014,"Carolina Panthers","grass",4.58536585365854,4.31013916500994,4.39141414141414,"Home"
"69",2015,"Seattle Seahawks","turf",6.38888888888889,4.45977011494253,3.94202898550725,"Home"
"70",2015,"Carolina Panthers","grass",4.10810810810811,4.22857142857143,4.0379746835443,"Home"
"71",2015,"Philadelphia Eagles","grass",3.7,3.95497630331754,4.06067961165049,"Home"
"72",2015,"Cleveland Browns","grass",1.95,4.13888888888889,4.14563106796117,"Home"
"73",2015,"Pittsburgh Steelers","grass",4.40625,4.54207920792079,4.015,"Home"
