"","team_id","ownCarries","againstCarries","ownYards","againstYards","ownYPC","againstYPC"
"1","Indianapolis Colts 2007",464,484,1750,1810,3.77155172413793,3.7396694214876
"2","St. Louis Rams 2007",404,445,1527,1844,3.77970297029703,4.1438202247191
"3","Minnesota Vikings 2007",494,379,2634,1185,5.33198380566802,3.12664907651715
"4","Washington Redskins 2007",527,412,1946,1537,3.69259962049336,3.73058252427184
"5","Buffalo Bills 2007",448,454,1800,1993,4.01785714285714,4.38986784140969
"6","Green Bay Packers 2007",437,481,1860,1809,4.25629290617849,3.76091476091476
"7","Cleveland Browns 2007",440,460,1895,2072,4.30681818181818,4.50434782608696
"8","New York Jets 2007",446,517,1701,2156,3.81390134529148,4.17021276595745
"9","Jacksonville Jaguars 2007",573,445,2606,1793,4.54799301919721,4.02921348314607
"10","Houston Texans 2007",417,417,1586,1825,3.80335731414868,4.37649880095923
"11","San Diego Chargers 2007",569,495,2310,2024,4.0597539543058,4.08888888888889
"12","Seattle Seahawks 2007",469,486,1724,1954,3.67590618336887,4.02057613168724
"13","Oakland Raiders 2007",508,486,2086,2334,4.10629921259843,4.80246913580247
"14","Dallas Cowboys 2007",452,404,1900,1603,4.20353982300885,3.96782178217822
"15","Cincinnati Bengals 2007",416,449,1556,1893,3.74038461538462,4.21603563474387
"16","San Francisco 49ers 2007",357,504,1477,1896,4.13725490196078,3.76190476190476
"17","Carolina Panthers 2007",451,472,1824,1771,4.04434589800443,3.7521186440678
"18","Tennessee Titans 2007",573,401,2228,1546,3.88830715532286,3.85536159600997
"19","Pittsburgh Steelers 2007",537,390,2211,1573,4.11731843575419,4.03333333333333
"20","Tampa Bay Buccaneers 2007",471,484,1941,1826,4.12101910828025,3.77272727272727
"21","New York Giants 2007",577,503,2517,1905,4.36221837088388,3.78727634194831
"22","Arizona Cardinals 2007",402,407,1440,1603,3.58208955223881,3.93857493857494
"23","Miami Dolphins 2007",389,544,1569,2456,4.03341902313625,4.51470588235294
"24","Detroit Lions 2007",324,448,1324,1911,4.08641975308642,4.265625
"25","Denver Broncos 2007",429,501,1957,2282,4.56177156177156,4.55489021956088
"26","Chicago Bears 2007",423,454,1330,1967,3.14420803782506,4.33259911894273
"27","Baltimore Ravens 2007",446,446,1797,1268,4.02914798206278,2.84304932735426
"28","New England Patriots 2007",537,420,2234,1801,4.16014897579143,4.28809523809524
"29","Philadelphia Eagles 2007",421,403,1974,1533,4.68883610451306,3.80397022332506
"30","Kansas City Chiefs 2007",383,481,1248,2089,3.25848563968668,4.34303534303534
"31","Atlanta Falcons 2007",385,481,1520,2033,3.94805194805195,4.22661122661123
"32","New Orleans Saints 2007",392,408,1466,1646,3.73979591836735,4.0343137254902
"33","New York Giants 2008",534,414,2656,1592,4.97378277153558,3.84541062801932
"34","Philadelphia Eagles 2008",496,516,1920,1863,3.87096774193548,3.61046511627907
"35","Miami Dolphins 2008",470,421,1949,1771,4.1468085106383,4.20665083135392
"36","New England Patriots 2008",514,415,2278,1722,4.43190661478599,4.14939759036145
"37","Pittsburgh Steelers 2008",541,452,1935,1430,3.57670979667283,3.16371681415929
"38","New Orleans Saints 2008",398,445,1594,1885,4.00502512562814,4.23595505617978
"39","Buffalo Bills 2008",439,454,1842,1946,4.19589977220957,4.2863436123348
"40","Atlanta Falcons 2008",584,443,2503,2126,4.28595890410959,4.79909706546275
"41","Tennessee Titans 2008",536,433,2315,1552,4.31902985074627,3.58429561200924
"42","Baltimore Ravens 2008",680,443,2655,1522,3.90441176470588,3.43566591422122
"43","San Diego Chargers 2008",465,473,1908,1870,4.10322580645161,3.95348837209302
"44","Cleveland Browns 2008",409,541,1605,2431,3.92420537897311,4.49353049907579
"45","San Francisco 49ers 2008",397,452,1599,1709,4.02770780856423,3.78097345132743
"46","Indianapolis Colts 2008",392,504,1338,2129,3.41326530612245,4.22420634920635
"47","Green Bay Packers 2008",437,458,1805,2105,4.1304347826087,4.59606986899563
"48","Oakland Raiders 2008",459,543,1987,2555,4.32897603485839,4.70534069981584
"49","St. Louis Rams 2008",417,501,1649,2475,3.95443645083933,4.94011976047904
"50","Kansas City Chiefs 2008",379,509,1810,2543,4.77572559366755,4.99607072691552
"51","Cincinnati Bengals 2008",420,490,1520,1921,3.61904761904762,3.92040816326531
"52","Washington Redskins 2008",478,398,2095,1526,4.38284518828452,3.83417085427136
"53","Detroit Lions 2008",352,535,1332,2754,3.78409090909091,5.14766355140187
"54","Jacksonville Jaguars 2008",426,428,1774,1709,4.16431924882629,3.99299065420561
"55","Carolina Panthers 2008",519,475,2512,2057,4.84007707129094,4.33052631578947
"56","Minnesota Vikings 2008",553,394,2480,1297,4.48462929475588,3.29187817258883
"57","Tampa Bay Buccaneers 2008",451,441,1837,1901,4.07317073170732,4.31065759637188
"58","Seattle Seahawks 2008",417,457,1768,1899,4.23980815347722,4.15536105032823
"59","Arizona Cardinals 2008",466,514,1569,2029,3.36695278969957,3.94747081712062
"60","Denver Broncos 2008",387,469,1862,2337,4.81136950904393,4.98294243070362
"61","New York Jets 2008",422,408,2004,1518,4.74881516587678,3.72058823529412
"62","Dallas Cowboys 2008",401,402,1723,1706,4.29675810473815,4.24378109452736
"63","Chicago Bears 2008",433,437,1673,1496,3.86374133949192,3.4233409610984
"64","Houston Texans 2008",432,439,1846,1967,4.27314814814815,4.48063781321185
"65","Pittsburgh Steelers 2009",428,372,1793,1438,4.1892523364486,3.86559139784946
"66","Indianapolis Colts 2009",433,534,1488,2296,3.4364896073903,4.29962546816479
"67","Cincinnati Bengals 2009",527,440,2227,1744,4.2258064516129,3.96363636363636
"68","Baltimore Ravens 2009",539,478,2521,1598,4.67717996289425,3.34309623430962
"69","Houston Texans 2009",425,397,1475,1711,3.47058823529412,4.30982367758186
"70","Cleveland Browns 2009",498,506,2087,2314,4.19076305220884,4.57312252964427
"71","New Orleans Saints 2009",544,504,2444,2272,4.49264705882353,4.50793650793651
"72","Tampa Bay Buccaneers 2009",404,529,1627,2531,4.02722772277228,4.78449905482042
"73","Carolina Panthers 2009",525,450,2498,1997,4.75809523809524,4.43777777777778
"74","Atlanta Falcons 2009",451,433,1876,1711,4.15964523281596,3.95150115473441
"75","Arizona Cardinals 2009",403,456,1751,2064,4.34491315136476,4.52631578947368
"76","New York Giants 2009",443,423,1837,1773,4.14672686230248,4.19148936170213
